Condition,Average alpha accuracy
6C(52%)-3.5C,0.8767224109567873
6C(40%)-4C,0.9036635907023447
6C(31%)-4.25C,0.9274599101635604
6C(20%)-4.5C,0.8723172528744847
5.6C(65%)-3C,0.8195813811910323
5.6C(58%)-3.5C,0.8976537926956837
5.6C(47%)-4C,0.9083838439159682
5.2C(71%)-3C,0.9189728596961835
4C(31%)-5C,0.9486772763780944
4.9C(27%)-4.75C,0.9116061094661607
4.4C(55%)-6C,0.9684606351515123
3.6C(22%)-5.5C,0.9010320339841118
2C(7%)-5.5C,0.7599108732859732
2C(2%)-5C,0.8613930110298953
2C(10%)-6C,0.5935532464108876
1C(4%)-6C,0.7111350297674712
