,rmse,Conditions
MAGNet,0.16573690623044968,03
MAGNet,0.1643996722996235,03
MAGNet,0.162733294069767,03
MAGNet,0.15855886414647102,03
MAGNet,0.15880105271935463,03
MAGNet,0.1493309624493122,03
MAGNet,0.1459079645574093,03
MAGNet,0.14249320328235626,03
MAGNet,0.14007233083248138,03
MAGNet,0.1406739503145218,03
MAGNet,0.13853969797492027,03
MAGNet,0.1398387812077999,03
MAGNet,0.13750637136399746,03
MAGNet,0.13664439134299755,03
MAGNet,0.13814588077366352,03
MAGNet,0.1386123076081276,03
MAGNet,0.13495620340108871,03
MAGNet,0.13472850248217583,03
MAGNet,0.1313343122601509,03
MAGNet,0.12955776788294315,03
MAGNet,0.12705190107226372,03
MAGNet,0.1255037561058998,03
MAGNet,0.12562253326177597,03
MAGNet,0.12319842912256718,03
MAGNet,0.12244896218180656,03
MAGNet,0.12275904603302479,03
MAGNet,0.12104794755578041,03
MAGNet,0.12079674378037453,03
MAGNet,0.12064496986567974,03
MAGNet,0.12027866765856743,03
MAGNet,0.12030109390616417,03
MAGNet,0.11867205239832401,03
MAGNet,0.12016929499804974,03
MAGNet,0.11841797269880772,03
MAGNet,0.11692102625966072,03
MAGNet,0.11955849826335907,03
MAGNet,0.11890507116913795,03
MAGNet,0.11790291965007782,03
MAGNet,0.11790385842323303,03
MAGNet,0.1192789264023304,03
MAGNet,0.12055207043886185,03
MAGNet,0.11928709410130978,03
MAGNet,0.12064681574702263,03
MAGNet,0.1210847869515419,03
MAGNet,0.12053889781236649,03
MAGNet,0.12079052440822124,03
MAGNet,0.12244208715856075,03
MAGNet,0.12318389117717743,03
MAGNet,0.12319826520979404,03
MAGNet,0.12307505495846272,03
MAGNet,0.12351270578801632,03
MAGNet,0.12558985128998756,03
MAGNet,0.12406470440328121,03
MAGNet,0.12469976209104061,03
MAGNet,0.12258820421993732,03
MAGNet,0.1205881517380476,03
MAGNet,0.11661596968770027,03
MAGNet,0.11362368613481522,03
MAGNet,0.10887828841805458,03
MAGNet,0.10497445426881313,03
MAGNet,0.09760312922298908,03
MAGNet,0.09243285655975342,03
MAGNet,0.08670206181704998,03
MAGNet,0.08171553537249565,03
MAGNet,0.07371828518807888,03
MAGNet,0.06459233071655035,03
MAGNet,0.05399601347744465,03
MAGNet,0.05687096435576677,03
MAGNet,0.054208770394325256,03
MAGNet,0.05427319277077913,03
MAGNet,0.05233796592801809,03
MAGNet,0.04947516322135925,03
MAGNet,0.05119375605136156,03
MAGNet,0.045983062125742435,03
MAGNet,0.046304778195917606,03
MAGNet,0.050884551368653774,03
MAGNet,0.048371657729148865,03
MAGNet,0.05139623489230871,03
MAGNet,0.055029080249369144,03
MAGNet,0.0589982820674777,03
MAGNet,0.06527827400714159,03
MAGNet,0.07153845578432083,03
MAGNet,0.07923541404306889,03
MAGNet,0.08649681694805622,03
MAGNet,0.09361214563250542,03
MAGNet,0.09984148107469082,03
MAGNet,0.10911339893937111,03
MAGNet,0.11693867295980453,03
MAGNet,0.12521572969853878,03
MAGNet,0.13550806231796741,03
MAGNet,0.14477762952446938,03
MAGNet,0.15376673638820648,03
MAGNet,0.16310608386993408,03
MAGNet,0.17250323668122292,03
MAGNet,0.1824687421321869,03
MAGNet,0.19258761405944824,03
MAGNet,0.26628297567367554,09
MAGNet,0.28054583445191383,09
MAGNet,0.29941122978925705,09
MAGNet,0.3063916191458702,09
MAGNet,0.2967402711510658,09
MAGNet,0.2878342717885971,09
MAGNet,0.2783249504864216,09
MAGNet,0.2696355879306793,09
MAGNet,0.2619398683309555,09
MAGNet,0.2572815455496311,09
MAGNet,0.2479110024869442,09
