,rmse,Conditions
MAGNet,0.037922149524092674,CY25-1
MAGNet,0.024951301980763674,CY25-1
MAGNet,0.018217791570350528,CY25-1
MAGNet,0.023292175959795713,CY25-1
MAGNet,0.02394130639731884,CY25-1
MAGNet,0.018047177232801914,CY25-1
MAGNet,0.016740285325795412,CY25-1
MAGNet,0.018420336302369833,CY25-1
MAGNet,0.02480537595693022,CY25-1
MAGNet,0.047017455101013184,CY25-1
MAGNet,0.09981925319880247,CY25-1
MAGNet,0.14628266170620918,CY25-1
MAGNet,0.13031098246574402,CY25-1
MAGNet,0.06838413141667843,CY25-1
MAGNet,0.03391707455739379,CY25-1
MAGNet,0.03306477051228285,CY25-1
MAGNet,0.03193177981302142,CY25-1
MAGNet,0.048221588134765625,CY25-1
MAGNet,0.033509873785078526,CY25-1
MAGNet,0.034217487554997206,CY25-1
MAGNet,0.037614986300468445,CY25-1
MAGNet,0.044013692531734705,CY25-1
MAGNet,0.051459429785609245,CY25-1
MAGNet,0.06282639317214489,CY25-1
MAGNet,0.0886145830154419,CY25-1
MAGNet,0.046926737762987614,CY25-05
MAGNet,0.05388371367007494,CY25-05
MAGNet,0.06592846848070621,CY25-05
MAGNet,0.0677027702331543,CY25-05
MAGNet,0.06446902826428413,CY25-05
MAGNet,0.06288414262235165,CY25-05
MAGNet,0.06307023949921131,CY25-05
MAGNet,0.059667881578207016,CY25-05
MAGNet,0.055099843069911,CY25-05
MAGNet,0.05495134089142084,CY25-05
MAGNet,0.05769164953380823,CY25-05
MAGNet,0.0547481793910265,CY25-05
MAGNet,0.051917802542448044,CY25-05
MAGNet,0.04880354832857847,CY25-05
MAGNet,0.048685576766729355,CY25-05
MAGNet,0.05017098132520914,CY25-05
MAGNet,0.04850457329303026,CY25-05
MAGNet,0.04833340458571911,CY25-05
MAGNet,0.04892627242952585,CY25-05
MAGNet,0.04907230660319328,CY25-05
MAGNet,0.04964391514658928,CY25-05
MAGNet,0.05088467989116907,CY25-05
MAGNet,0.05253118276596069,CY25-05
MAGNet,0.05318432115018368,CY25-05
MAGNet,0.05404658894985914,CY25-05
MAGNet,0.05599275603890419,CY25-05
MAGNet,0.05690580792725086,CY25-05
MAGNet,0.05809992924332619,CY25-05
MAGNet,0.05996387638151646,CY25-05
MAGNet,0.06196751166135073,CY25-05
MAGNet,0.06494719907641411,CY25-05
MAGNet,0.06492243148386478,CY25-05
MAGNet,0.06496873963624239,CY25-05
MAGNet,0.06749379448592663,CY25-05
MAGNet,0.06975035183131695,CY25-05
MAGNet,0.07286804728209972,CY25-05
MAGNet,0.07435823231935501,CY25-05
MAGNet,0.07741753570735455,CY25-05
MAGNet,0.08177319541573524,CY25-05
MAGNet,0.08289852365851402,CY25-05
MAGNet,0.08172795362770557,CY25-05
MAGNet,0.0815642885863781,CY25-05
MAGNet,0.08219744265079498,CY25-05
MAGNet,0.08404049091041088,CY25-05
MAGNet,0.08721645176410675,CY25-05
MAGNet,0.08989799208939075,CY25-05
MAGNet,0.09395871497690678,CY25-05
MAGNet,0.09857083670794964,CY25-05
