,Voltage(V),dQ/dV(mAh/V)
0,3.0046031,60.64784108217936
1,3.0096031,67.2904671896402
2,3.0146031,74.66220756163128
3,3.0196031,82.66461610179296
4,3.0246030999999998,91.15912259436568
5,3.0296030999999997,99.83063576234346
6,3.0346030999999996,108.2872554523127
7,3.0396030999999994,116.37679265950185
8,3.0446030999999993,124.29900657895922
9,3.0496030999999992,131.3848087879571
10,3.054603099999999,137.86289771377767
11,3.059603099999999,143.97260428412193
12,3.064603099999999,149.8363716209554
13,3.069603099999999,155.66965881975258
14,3.0746030999999987,161.45529244008424
15,3.0796030999999986,167.39238766597504
16,3.0846030999999985,173.40875113405713
17,3.0896030999999984,179.64905104729692
18,3.0946030999999983,186.055795915709
19,3.099603099999998,192.717380977409
20,3.104603099999998,199.57197339934854
21,3.109603099999998,206.67417558335256
22,3.114603099999998,214.00043242025757
23,3.1196030999999977,221.48651677389415
24,3.1246030999999976,229.0525712856125
25,3.1296030999999975,236.8161350298799
26,3.1346030999999974,244.64732195453314
27,3.1396030999999973,252.629405535455
28,3.144603099999997,260.6803323022891
29,3.149603099999997,268.8635250022478
30,3.154603099999997,277.0658468694344
31,3.159603099999997,285.47229588882453
32,3.164603099999997,293.92638389230626
33,3.1696030999999967,302.4132212580342
34,3.1746030999999966,311.0417770057711
35,3.1796030999999965,319.59362038267426
36,3.1846030999999964,328.2186315094609
37,3.1896030999999962,336.72755109736056
38,3.194603099999996,345.22664609742026
39,3.199603099999996,353.9052722258264
40,3.204603099999996,362.58916055179947
41,3.209603099999996,371.39979177690003
42,3.2146030999999957,380.1838385919204
43,3.2196030999999956,389.1428571233821
44,3.2246030999999955,398.1960011305528
45,3.2296030999999954,407.4584787385762
46,3.2346030999999953,416.9242860102378
47,3.239603099999995,426.60873878918875
48,3.244603099999995,436.6057480470618
49,3.249603099999995,446.7565909015963
50,3.254603099999995,457.28835644962794
51,3.2596030999999948,467.97256177211057
52,3.2646030999999947,479.20507971092053
53,3.2696030999999945,490.6465824477421
54,3.2746030999999944,502.62796203935517
55,3.2796030999999943,514.948874325509
56,3.2846030999999942,527.9020986101461
57,3.289603099999994,541.6063238950727
58,3.294603099999994,555.9569526518521
59,3.299603099999994,571.1629462223743
60,3.304603099999994,587.4235896503247
61,3.3096030999999937,604.8326632452264
62,3.3146030999999936,623.3307287015325
63,3.3196030999999935,642.9165403867773
64,3.3246030999999934,663.973592756524
65,3.3296030999999933,686.2170275964859
66,3.334603099999993,710.2956901943808
67,3.339603099999993,735.9632365570922
68,3.344603099999993,763.821684758776
69,3.349603099999993,793.8704752659218
70,3.3546030999999927,826.1001550857359
71,3.3596030999999926,860.5034317038187
72,3.3646030999999925,897.1113197515787
73,3.3696030999999924,935.6539393699614
74,3.3746030999999923,975.7853928625715
75,3.379603099999992,1016.8673987536232
76,3.384603099999992,1058.9961853102473
77,3.389603099999992,1101.6716233331879
78,3.394603099999992,1144.5781224334
79,3.3996030999999918,1187.9759774469312
80,3.4046030999999917,1232.3409083360198
81,3.4096030999999916,1277.9330657609173
82,3.4146030999999915,1325.4072914289795
83,3.4196030999999913,1377.5292183149375
84,3.4246030999999912,1436.9066168410095
85,3.429603099999991,1507.8903821443353
86,3.434603099999991,1594.073178764304
87,3.439603099999991,1698.7265141212586
88,3.444603099999991,1823.007568204772
89,3.4496030999999907,1964.7124888208914
90,3.4546030999999906,2116.7960390046223
91,3.4596030999999905,2269.8282843037023
92,3.4646030999999904,2412.4250152558016
93,3.4696030999999903,2534.7845768277966
94,3.47460309999999,2634.7833446466643
95,3.47960309999999,2709.2195537403804
96,3.48460309999999,2764.7315381117733
97,3.48960309999999,2806.6777557861747
98,3.4946030999999897,2840.6540053741487
99,3.4996030999999896,2872.1163656760755
100,3.5046030999999895,2904.261075592971
101,3.5096030999999894,2938.8179062932204
102,3.5146030999999893,2977.410684638592
103,3.519603099999989,3014.530129040873
104,3.524603099999989,3056.593221080112
105,3.529603099999989,3098.457359589371
106,3.534603099999989,3139.9901223621923
107,3.539603099999989,3183.976688215076
108,3.5446030999999887,3228.600341610414
109,3.5496030999999886,3271.576376560468
110,3.5546030999999885,3310.9639958689577
111,3.5596030999999884,3340.090107035349
112,3.5646030999999883,3357.884567406822
113,3.569603099999988,3359.395914798103
114,3.574603099999988,3347.0239294051707
115,3.579603099999988,3328.0585351425398
116,3.584603099999988,3309.67704063207
117,3.5896030999999877,3297.983987197322
118,3.5946030999999876,3298.797095461267
119,3.5996030999999875,3314.180775347159
120,3.6046030999999874,3341.556863314564
121,3.6096030999999873,3384.326288141585
122,3.614603099999987,3440.0836092882246
123,3.619603099999987,3505.740485561484
124,3.624603099999987,3591.354649935842
125,3.629603099999987,3691.4467898755192
126,3.6346030999999868,3805.8556972347947
127,3.6396030999999867,3926.7483314859337
128,3.6446030999999866,4053.4622520689954
129,3.6496030999999864,4156.351559514985
130,3.6546030999999863,4233.231140064774
131,3.6596030999999862,4276.215044881777
132,3.664603099999986,4287.2532678575
133,3.669603099999986,4272.668251653963
134,3.674603099999986,4243.69225885981
135,3.679603099999986,4202.933283030789
136,3.6846030999999857,4161.691812888697
137,3.6896030999999856,4122.709718684338
138,3.6946030999999855,4090.666520250059
139,3.6996030999999854,4065.3884264025214
140,3.7046030999999853,4050.1751080328368
141,3.709603099999985,4050.417498173245
142,3.714603099999985,4070.903450445897
143,3.719603099999985,4110.64302101009
144,3.724603099999985,4166.565651141616
145,3.7296030999999847,4230.136288027004
146,3.7346030999999846,4285.680254261327
147,3.7396030999999845,4326.671371121384
