,Voltage(V),dQ/dV(mAh/V)
0,3.2764566000000004,31.157849758730805
1,3.2814566000000003,38.372026502432654
2,3.2864566,47.508061049539286
3,3.2914566,58.30177875488354
4,3.2964566,70.50999083952082
5,3.3014566,84.03786581732275
6,3.3064565999999997,98.62632843236969
7,3.3114565999999996,113.73850307620322
8,3.3164565999999995,129.59792520759854
9,3.3214565999999994,145.0674118768435
10,3.3264565999999993,160.2807971853566
11,3.331456599999999,175.16376521719303
12,3.336456599999999,189.46977498187678
13,3.341456599999999,203.73576876514878
14,3.346456599999999,217.82264168437462
15,3.351456599999999,231.7941672059015
16,3.3564565999999987,245.6101917440054
17,3.3614565999999986,259.5524648372944
18,3.3664565999999985,273.6791948597514
19,3.3714565999999984,288.15726418311993
20,3.3764565999999983,302.79440198321277
21,3.381456599999998,318.082820920774
22,3.386456599999998,334.0888444814797
23,3.391456599999998,350.73110093294775
24,3.396456599999998,368.54835107681936
25,3.4014565999999977,387.5999004048333
26,3.4064565999999976,407.9892872326843
27,3.4114565999999975,430.02325426097144
28,3.4164565999999974,453.3332333756815
29,3.4214565999999973,478.4009519726397
30,3.426456599999997,505.0493607332423
31,3.431456599999997,533.0413861705532
32,3.436456599999997,562.1751208516665
33,3.441456599999997,592.3560204567009
34,3.4464565999999968,623.65494946524
35,3.4514565999999967,655.7966603431342
36,3.4564565999999965,689.0324836368651
37,3.4614565999999964,723.6038279585956
38,3.4664565999999963,759.4953683724655
39,3.4714565999999962,797.4613294749134
40,3.476456599999996,838.1179787223621
41,3.481456599999996,883.1588426412638
42,3.486456599999996,934.0273408554735
43,3.491456599999996,992.2318400875337
44,3.4964565999999957,1059.0179019154273
45,3.5014565999999956,1135.293557243801
46,3.5064565999999955,1220.5698244727714
47,3.5114565999999954,1313.1186472368558
48,3.5164565999999953,1409.33213608603
49,3.521456599999995,1505.8069434683753
50,3.526456599999995,1597.6536163126943
51,3.531456599999995,1680.5892297919268
52,3.536456599999995,1751.8700520463663
53,3.5414565999999947,1810.8021941743555
54,3.5464565999999946,1857.9809913629788
55,3.5514565999999945,1895.6415641625035
56,3.5564565999999944,1926.0217207231035
57,3.5614565999999943,1951.8339926104923
58,3.566456599999994,1975.2197585546692
59,3.571456599999994,1997.6267041043643
60,3.576456599999994,2020.0365836404621
61,3.581456599999994,2043.738731926422
62,3.5864565999999938,2068.7126903738053
63,3.5914565999999937,2094.4450440702694
64,3.5964565999999936,2121.7376187493046
65,3.6014565999999935,2149.98429929746
66,3.6064565999999934,2179.2407509494496
67,3.6114565999999932,2209.2161008145576
68,3.616456599999993,2239.9187394309793
69,3.621456599999993,2271.6229177894857
70,3.626456599999993,2304.578854552807
71,3.631456599999993,2339.990131391236
72,3.6364565999999927,2379.5477859868174
73,3.6414565999999926,2425.8928583478387
74,3.6464565999999925,2479.848450776731
75,3.6514565999999924,2543.1263503275945
76,3.6564565999999923,2616.7504204974875
77,3.661456599999992,2701.7693587951353
78,3.666456599999992,2795.873214312191
79,3.671456599999992,2898.3211731050105
80,3.676456599999992,3004.2737767987364
81,3.6814565999999918,3117.084762707207
82,3.6864565999999916,3226.0003519718452
83,3.6914565999999915,3328.7273042703728
84,3.6964565999999914,3420.374925172196
85,3.7014565999999913,3495.4111913690244
86,3.706456599999991,3547.880182209443
87,3.711456599999991,3578.745788737785
88,3.716456599999991,3592.5820094830838
89,3.721456599999991,3592.7858297266803
90,3.726456599999991,3582.1784178261346
91,3.7314565999999907,3565.0555227004297
92,3.7364565999999906,3547.465516707646
93,3.7414565999999905,3533.7549629472346
94,3.7464565999999904,3526.1446605545602
95,3.7514565999999903,3525.630272775847
96,3.75645659999999,3531.973999108629
97,3.76145659999999,3545.9961630834623
98,3.76645659999999,3563.25913782612
99,3.77145659999999,3582.9814042302714
100,3.7764565999999897,3602.098118591488
101,3.7814565999999896,3616.794352763969
102,3.7864565999999895,3624.160546824429
103,3.7914565999999894,3622.5218173253174
104,3.7964565999999893,3611.9638241094945
105,3.801456599999989,3592.2451819579246
106,3.806456599999989,3566.1218633072513
107,3.811456599999989,3532.320921306265
108,3.816456599999989,3494.1688023338857
109,3.8214565999999888,3451.949022235723
110,3.8264565999999887,3410.6559805926195
111,3.8314565999999886,3371.7432296148263
112,3.8364565999999884,3333.826975936412
113,3.8414565999999883,3298.6993669419658
114,3.8464565999999882,3265.6571970834925
115,3.851456599999988,3232.6547520808267
116,3.856456599999988,3200.7375955908315
117,3.861456599999988,3169.295016834162
118,3.866456599999988,3141.978699206567
119,3.8714565999999877,3117.9101673064083
120,3.8764565999999876,3096.6216138801
121,3.8814565999999875,3081.268158353251
122,3.8864565999999874,3067.8991953493046
123,3.8914565999999873,3057.4484218530847
124,3.896456599999987,3047.5032584699584
125,3.901456599999987,3041.375139538215
126,3.906456599999987,3036.0617238386326
127,3.911456599999987,3033.186574571483
128,3.9164565999999867,3032.88957642994
129,3.9214565999999866,3034.528584761669
130,3.9264565999999865,3038.3939059791114
131,3.9314565999999864,3042.7050741922726
132,3.9364565999999863,3048.34243723985
133,3.941456599999986,3054.7637143392526
134,3.946456599999986,3062.4980892074695
135,3.951456599999986,3070.198768767804
136,3.956456599999986,3081.4062552518694
