,Voltage(V),dQ/dU(mAh/V)
0,3.0913591241827696,342.50398263027404
1,3.0963591241827695,346.5209157392998
2,3.1013591241827694,351.2721321325336
3,3.1063591241827693,356.9515996070576
4,3.111359124182769,363.49074632409554
5,3.116359124182769,370.8786763147321
6,3.121359124182769,378.88684845379703
7,3.126359124182769,387.4856129908734
8,3.1313591241827687,396.51361237152696
9,3.1363591241827686,405.67547309796356
10,3.1413591241827685,415.04029051435424
11,3.1463591241827684,424.4612551276653
12,3.1513591241827683,434.0580421449533
13,3.156359124182768,443.90807990917847
14,3.161359124182768,453.9317413721567
15,3.166359124182768,464.15279563154905
16,3.171359124182768,474.68151612817906
17,3.176359124182768,485.5197407764293
18,3.1813591241827677,496.6413504669144
19,3.1863591241827676,508.1640206651889
20,3.1913591241827675,520.2040802484387
21,3.1963591241827674,532.7947250503281
22,3.2013591241827672,546.0906479204766
23,3.206359124182767,560.0804542420291
24,3.211359124182767,574.8433537957428
25,3.216359124182767,590.62981116003
26,3.221359124182767,607.5712847700804
27,3.2263591241827667,625.864718742549
28,3.2313591241827666,645.8333754105536
29,3.2363591241827665,667.7420639674023
30,3.2413591241827664,691.8110183475183
31,3.2463591241827663,718.4802733397582
32,3.251359124182766,747.9247475850383
33,3.256359124182766,779.9838119014461
34,3.261359124182766,814.7395653102118
35,3.266359124182766,851.9159121657514
36,3.2713591241827658,890.6288454241703
37,3.2763591241827656,930.622552182818
38,3.2813591241827655,971.5582687802911
39,3.2863591241827654,1012.5427964325401
40,3.2913591241827653,1053.0563950489388
41,3.296359124182765,1092.8160058575968
42,3.301359124182765,1132.0221994317237
43,3.306359124182765,1170.1066857069256
44,3.311359124182765,1206.8462357282187
45,3.316359124182765,1242.415676302903
46,3.3213591241827647,1276.8639164649737
47,3.3263591241827646,1310.575782922782
48,3.3313591241827645,1344.352601635132
49,3.3363591241827644,1379.0432627155096
50,3.3413591241827643,1415.9969267196557
51,3.346359124182764,1456.9793838491332
52,3.351359124182764,1503.5907545277432
53,3.356359124182764,1558.7810852627376
54,3.361359124182764,1625.3857338241332
55,3.3663591241827637,1703.7449702791216
56,3.3713591241827636,1795.908101675435
57,3.3763591241827635,1900.3533860744656
58,3.3813591241827634,2018.0659203028777
59,3.3863591241827633,2133.7080228978984
60,3.391359124182763,2243.7625654110284
61,3.396359124182763,2335.3843989433803
62,3.401359124182763,2406.709526831799
63,3.406359124182763,2462.8819038381935
64,3.4113591241827628,2507.660433644274
65,3.4163591241827627,2548.866380598644
66,3.4213591241827626,2585.920130061898
67,3.4263591241827625,2624.5087185506063
68,3.4313591241827623,2663.707253982725
69,3.4363591241827622,2702.238338928696
70,3.441359124182762,2738.4388394516054
71,3.446359124182762,2768.1029852830025
72,3.451359124182762,2795.123232562356
73,3.456359124182762,2822.201263310637
74,3.4613591241827617,2849.3279455142856
75,3.4663591241827616,2876.948117546308
76,3.4713591241827615,2901.649994366043
77,3.4763591241827614,2921.830910402506
78,3.4813591241827613,2934.4340259357796
79,3.486359124182761,2943.847218293825
80,3.491359124182761,2952.6266647601847
81,3.496359124182761,2962.175656139832
82,3.501359124182761,2967.7518628750677
83,3.5063591241827607,2971.58419872912
84,3.5113591241827606,2967.5169319781808
85,3.5163591241827605,2951.0243311158574
86,3.5213591241827604,2926.3724650033478
87,3.5263591241827603,2904.6071531270254
88,3.53135912418276,2894.1043669379483
89,3.53635912418276,2899.7716693975576
90,3.54135912418276,2924.7839796692997
91,3.54635912418276,2974.4112319183732
92,3.55135912418276,3049.3509645763274
93,3.5563591241827597,3149.2736215327977
94,3.5613591241827596,3261.6084317309974
95,3.5663591241827595,3384.7350592994258
96,3.5713591241827594,3519.577030455459
97,3.5763591241827593,3682.168081424775
98,3.581359124182759,3852.3858314854183
99,3.586359124182759,3993.3525747080994
100,3.591359124182759,4091.7741351413015
101,3.596359124182759,4156.738247896824
102,3.6013591241827587,4173.788261984503
103,3.6063591241827586,4166.795188998639
104,3.6113591241827585,4136.217523998112
105,3.6163591241827584,4072.9539833705594
106,3.6213591241827583,4002.937196398659
107,3.626359124182758,3946.907784855856
108,3.631359124182758,3897.5720242818848
109,3.636359124182758,3848.3380965083857
110,3.641359124182758,3791.9912052563154
111,3.6463591241827578,3725.574212587472
112,3.6513591241827577,3665.686315309484
113,3.6563591241827575,3617.0430457748985
114,3.6613591241827574,3576.838439031934
115,3.6663591241827573,3535.0002861594485
116,3.6713591241827572,3486.443338237644
117,3.676359124182757,3445.51450843943
118,3.681359124182757,3413.030975804872
119,3.686359124182757,3387.362141668288
120,3.691359124182757,3373.7303790490773
121,3.6963591241827567,3363.7663728069174
122,3.7013591241827566,3361.949215101221
123,3.7063591241827565,3371.169739730729
124,3.7113591241827564,3381.7401613502198
125,3.7163591241827563,3388.052158277244
126,3.721359124182756,3391.669869389066
127,3.726359124182756,3394.176511429786
128,3.731359124182756,3388.9645454167885
129,3.736359124182756,3384.2021926536445
130,3.7413591241827557,3378.3901790350983
131,3.7463591241827556,3373.944658740466
132,3.7513591241827555,3372.112488666761
133,3.7563591241827554,3371.289820395743
134,3.7613591241827553,3372.0872402302393
135,3.766359124182755,3373.705228059742
136,3.771359124182755,3380.281088190528
137,3.776359124182755,3391.5291456239806
138,3.781359124182755,3403.0140150635248
139,3.7863591241827548,3413.365785530003
140,3.7913591241827547,3425.9096726715475
141,3.7963591241827546,3437.7999431696603
142,3.8013591241827545,3448.4745351374795
143,3.8063591241827543,3458.3251228016447
144,3.8113591241827542,3467.3550546442643
145,3.816359124182754,3477.1667527949353
