,Voltage(V),dQ/dU(mAh/V)
0,2.8948961932519706,104.44019979492381
1,2.8998961932519705,113.88825199849427
2,2.9048961932519703,124.37270695754752
3,2.9098961932519702,135.59459398013513
4,2.91489619325197,146.88840974645058
5,2.91989619325197,157.6721424001758
6,2.92489619325197,168.0237590200101
7,2.92989619325197,177.2279776130984
8,2.9348961932519697,185.6379719121153
9,2.9398961932519696,193.72281709122825
10,2.9448961932519695,201.59961594051313
11,2.9498961932519694,209.59455642404478
12,2.9548961932519693,217.63554464071694
13,2.959896193251969,225.86982291803804
14,2.964896193251969,234.3379734293129
15,2.969896193251969,243.00638705122233
16,2.974896193251969,251.93019251580054
17,2.9798961932519688,261.00919571833265
18,2.9848961932519686,270.1047109029397
19,2.9898961932519685,279.2679737080265
20,2.9948961932519684,288.50198799003687
21,2.9998961932519683,297.74789559233835
22,3.004896193251968,307.00384412315503
23,3.009896193251968,316.24331078584004
24,3.014896193251968,325.6082371357369
25,3.019896193251968,335.0788673052973
26,3.024896193251968,344.4883281963843
27,3.0298961932519677,353.93543496627944
28,3.0348961932519676,363.205070810474
29,3.0398961932519675,372.4807339271155
30,3.0448961932519674,381.59665521170854
31,3.0498961932519673,390.7541594218981
32,3.054896193251967,399.915071718541
33,3.059896193251967,409.20178101536396
34,3.064896193251967,418.37989340400634
35,3.069896193251967,427.7528846456434
36,3.0748961932519667,437.17077006898023
37,3.0798961932519666,446.87485183831024
38,3.0848961932519665,456.71167133561005
39,3.0898961932519664,466.6935230135985
40,3.0948961932519663,476.879198602549
41,3.099896193251966,487.35156873138425
42,3.104896193251966,497.98062922957473
43,3.109896193251966,508.9713038656176
44,3.114896193251966,520.1343353844496
45,3.1198961932519658,531.7827033382457
46,3.1248961932519657,543.6916209376633
47,3.1298961932519656,555.985797890223
48,3.1348961932519654,568.9891622193387
49,3.1398961932519653,582.4745189897102
50,3.1448961932519652,596.7813114500319
51,3.149896193251965,611.6487239422271
52,3.154896193251965,627.5895353166692
53,3.159896193251965,644.1734333350346
54,3.164896193251965,661.4866451007606
55,3.1698961932519647,679.5545977039495
56,3.1748961932519646,698.5150029207985
57,3.1798961932519645,718.641126395922
58,3.1848961932519644,739.5390684826602
59,3.1898961932519643,761.5077649034716
60,3.194896193251964,784.5010051302445
61,3.199896193251964,808.6302286857489
62,3.204896193251964,833.6102102396195
63,3.209896193251964,858.9946613230139
64,3.2148961932519637,885.1329371291229
65,3.2198961932519636,911.5358636332344
66,3.2248961932519635,937.4185579080128
67,3.2298961932519634,963.3917802718192
68,3.2348961932519633,988.8212044862624
69,3.239896193251963,1013.7876819226125
70,3.244896193251963,1038.110514737009
71,3.249896193251963,1062.362845245711
72,3.254896193251963,1086.9470571632028
73,3.259896193251963,1111.7749384946376
74,3.2648961932519627,1137.4648435194686
75,3.2698961932519626,1165.2298733338696
76,3.2748961932519625,1196.4365795119672
77,3.2798961932519624,1232.2317574336328
78,3.2848961932519622,1274.117753394693
79,3.289896193251962,1323.6358621595575
80,3.294896193251962,1381.3062809892285
81,3.299896193251962,1446.570194347659
82,3.304896193251962,1519.165231893751
83,3.3098961932519617,1596.5692808778863
84,3.3148961932519616,1674.703526929893
85,3.3198961932519615,1750.3600379333425
86,3.3248961932519614,1821.7095632825833
87,3.3298961932519613,1885.8177136119193
88,3.334896193251961,1943.1298272210042
89,3.339896193251961,1994.325458394302
90,3.344896193251961,2038.1718517077545
91,3.349896193251961,2076.019206893237
92,3.3548961932519608,2108.977861048011
93,3.3598961932519606,2138.4032869400125
94,3.3648961932519605,2166.7433794469157
95,3.3698961932519604,2195.616832629898
96,3.3748961932519603,2226.444630857726
97,3.3798961932519602,2260.3050818884476
98,3.38489619325196,2297.9609444897605
99,3.38989619325196,2340.418637598201
100,3.39489619325196,2386.5977124846677
101,3.39989619325196,2437.3445378059314
102,3.4048961932519597,2493.807888647241
103,3.4098961932519596,2552.9040975133757
104,3.4148961932519595,2614.1205092596783
105,3.4198961932519594,2678.8343141833393
106,3.4248961932519593,2746.1046833683604
107,3.429896193251959,2813.5832987672575
108,3.434896193251959,2880.91859573615
109,3.439896193251959,2944.620131967743
110,3.444896193251959,3003.983351678479
111,3.4498961932519587,3057.0825388304
112,3.4548961932519586,3100.006026428535
113,3.4598961932519585,3134.558007996409
114,3.4648961932519584,3161.826906659728
115,3.4698961932519583,3184.6214209406844
116,3.474896193251958,3209.8450995650546
117,3.479896193251958,3237.222497676958
118,3.484896193251958,3271.9459841586086
119,3.489896193251958,3314.076035767917
120,3.4948961932519578,3362.666343599953
121,3.4998961932519577,3420.6124714173875
122,3.5048961932519576,3482.919695960455
123,3.5098961932519575,3555.218121154327
124,3.5148961932519573,3636.874454593203
125,3.5198961932519572,3727.8353487652757
126,3.524896193251957,3822.6043502568255
127,3.529896193251957,3920.2417618381114
128,3.534896193251957,4009.0498598941085
129,3.539896193251957,4079.531582010702
130,3.5448961932519567,4129.917052608004
131,3.5498961932519566,4160.327325364888
132,3.5548961932519565,4171.745701532831
133,3.5598961932519564,4169.400859216312
134,3.5648961932519563,4156.201574009373
135,3.569896193251956,4137.261926834663
136,3.574896193251956,4115.799235120475
137,3.579896193251956,4095.493456113844
138,3.584896193251956,4078.4806629984323
139,3.5898961932519557,4065.5662145881042
140,3.5948961932519556,4059.1137088551413
141,3.5998961932519555,4062.7759500510674
142,3.6048961932519554,4079.9213560771236
143,3.6098961932519553,4106.781593617097
144,3.614896193251955,4140.016605238192
145,3.619896193251955,4172.881022878689
