,Voltage(V),dQ/dV(mAh/V)
0,3.050838,51.02643266557843
1,3.055838,59.25638891627046
2,3.060838,68.5167646904932
3,3.065838,78.72225648303714
4,3.0708379999999997,89.56863619069635
5,3.0758379999999996,100.65898256398383
6,3.0808379999999995,111.55329804355901
7,3.0858379999999994,121.87642494269429
8,3.0908379999999993,131.85388258806813
9,3.095837999999999,140.75908441232366
10,3.100837999999999,148.75459010354936
11,3.105837999999999,156.24510578003483
12,3.110837999999999,163.41936216614877
13,3.1158379999999988,170.44194007015557
14,3.1208379999999987,177.42824394224044
15,3.1258379999999986,184.55396610287804
16,3.1308379999999985,191.80357807133103
17,3.1358379999999983,199.2695482277492
18,3.1408379999999982,206.9458574198023
19,3.145837999999998,214.89173710139443
20,3.150837999999998,222.99943977679806
21,3.155837999999998,231.39011209586198
22,3.160837999999998,239.80352462503373
23,3.1658379999999977,248.40915695424317
24,3.1708379999999976,257.1462262786624
25,3.1758379999999975,265.82572182560057
26,3.1808379999999974,274.5595702615529
27,3.1858379999999973,283.34074532636197
28,3.190837999999997,292.14499942744254
29,3.195837999999997,300.9326278085179
30,3.200837999999997,309.73483857256247
31,3.205837999999997,318.6071106929237
32,3.2108379999999968,327.44568170604185
33,3.2158379999999966,336.3391888179028
34,3.2208379999999965,345.18889300969346
35,3.2258379999999964,354.16253509961257
36,3.2308379999999963,363.12211452812323
37,3.235837999999996,372.1910912589994
38,3.240837999999996,381.3135680844605
39,3.245837999999996,390.568998681886
40,3.250837999999996,400.0514486938961
41,3.255837999999996,409.684731598021
42,3.2608379999999957,419.4165033243339
43,3.2658379999999956,429.4891716894333
44,3.2708379999999955,439.7583284255362
45,3.2758379999999954,450.24599939823537
46,3.2808379999999953,461.0882188002946
47,3.285837999999995,472.3025582628797
48,3.290837999999995,483.87557247858774
49,3.295837999999995,495.81688978079217
50,3.300837999999995,508.33389281735776
51,3.3058379999999947,521.4634016254641
52,3.3108379999999946,535.2640280127576
53,3.3158379999999945,549.9642185560195
54,3.3208379999999944,565.55070039687
55,3.3258379999999943,582.2174756206896
56,3.330837999999994,600.2724072229948
57,3.335837999999994,619.9138385360138
58,3.340837999999994,641.5879125041746
59,3.345837999999994,665.823842932881
60,3.3508379999999938,692.730832988789
61,3.3558379999999937,723.3019612765911
62,3.3608379999999936,757.8564569194857
63,3.3658379999999934,796.6890654554551
64,3.3708379999999933,839.9703498925239
65,3.3758379999999932,887.7452474836979
66,3.380837999999993,939.405075484272
67,3.385837999999993,994.255215429938
68,3.390837999999993,1051.6507024350537
69,3.395837999999993,1110.7069864514997
70,3.4008379999999927,1169.9203855464923
71,3.4058379999999926,1228.725267152105
72,3.4108379999999925,1287.0668382425174
73,3.4158379999999924,1343.7864810876158
74,3.4208379999999923,1398.4229494394813
75,3.425837999999992,1450.8898032593675
76,3.430837999999992,1502.1461199819694
77,3.435837999999992,1553.4277735018834
78,3.440837999999992,1606.4721972370205
79,3.4458379999999917,1665.1615658854726
80,3.4508379999999916,1734.5379217766604
81,3.4558379999999915,1819.4601809636947
82,3.4608379999999914,1929.8838786927765
83,3.4658379999999913,2069.3348500771267
84,3.470837999999991,2241.9930990394564
85,3.475837999999991,2447.3996753543815
86,3.480837999999991,2670.067745470346
87,3.485837999999991,2855.751913544955
88,3.490837999999991,2962.388436541517
89,3.4958379999999907,2991.4383315685636
90,3.5008379999999906,2977.7616960998967
91,3.5058379999999905,2953.4355943176083
92,3.5108379999999904,2934.51060645752
93,3.5158379999999902,2924.1959090892415
94,3.52083799999999,2927.4485847520696
95,3.52583799999999,2936.0326065085164
96,3.53083799999999,2944.7223480724715
97,3.53583799999999,2952.1004457071635
98,3.5408379999999897,2962.9125745121078
99,3.5458379999999896,2975.7285713914985
100,3.5508379999999895,2992.9801520885558
101,3.5558379999999894,3009.203757973827
102,3.5608379999999893,3021.9655222624156
103,3.565837999999989,3023.4394753244724
104,3.570837999999989,3020.671823297123
105,3.575837999999989,3017.6484369436707
106,3.580837999999989,3016.858181843172
107,3.5858379999999888,3012.102040157468
108,3.5908379999999887,3004.9656277228487
109,3.5958379999999885,2989.2486995353274
110,3.6008379999999884,2960.808529917994
111,3.6058379999999883,2922.3304031445077
112,3.6108379999999882,2887.384836955638
113,3.615837999999988,2865.564452324498
114,3.620837999999988,2863.098955986202
115,3.625837999999988,2885.175826880494
116,3.630837999999988,2937.0341502028855
117,3.6358379999999877,3020.6676841233048
118,3.6408379999999876,3135.6825850887285
119,3.6458379999999875,3270.0627152617453
120,3.6508379999999874,3423.2599840774515
121,3.6558379999999873,3591.5984010724214
122,3.660837999999987,3807.829831426549
123,3.665837999999987,4044.704421602201
124,3.670837999999987,4253.283916398262
125,3.675837999999987,4396.9323623436785
126,3.6808379999999867,4486.762019435845
127,3.6858379999999866,4499.014183185986
128,3.6908379999999865,4476.497264045914
129,3.6958379999999864,4411.940974801397
130,3.7008379999999863,4300.473098505364
131,3.705837999999986,4199.149733542501
132,3.710837999999986,4119.355783072013
133,3.715837999999986,4047.0649591325327
134,3.720837999999986,3972.8080182230615
135,3.7258379999999858,3885.143871277019
136,3.7308379999999857,3797.6979121084987
137,3.7358379999999856,3730.132596969904
138,3.7408379999999855,3673.1602785916475
139,3.7458379999999853,3618.538136469444
140,3.7508379999999852,3557.6410084748168
141,3.755837999999985,3505.817109360111
142,3.760837999999985,3463.2414392837977
143,3.765837999999985,3429.837706583818
144,3.770837999999985,3414.5549988584416
145,3.7758379999999847,3404.423627024508
146,3.7808379999999846,3403.608211954718
147,3.7858379999999845,3417.189625771135
