,Capacity(mAh),dU/dQ(V/mAh)
0,0.0009711722140842,0.1606060142776108
1,1.0009711722140842,0.019047727216653865
2,2.000971172214084,0.00854190405366754
3,3.000971172214084,0.0064864964610411475
4,4.000971172214085,0.005737289419075693
5,5.000971172214085,0.005285330377096062
6,6.000971172214085,0.004973823795309414
7,7.000971172214085,0.004740029540900594
8,8.000971172214085,0.00454964140186505
9,9.000971172214085,0.004383378100829175
10,10.000971172214085,0.004238863851252845
11,11.000971172214085,0.004106147298861712
12,12.000971172214085,0.0039831954274748135
13,13.000971172214085,0.0038722497269485377
14,14.000971172214085,0.0037683255226209525
15,15.000971172214085,0.003671564540792721
16,16.000971172214083,0.0035796368042252196
17,17.000971172214083,0.0034945954554508386
18,18.000971172214083,0.0034160849459960825
19,19.000971172214083,0.0033417465211312575
20,20.000971172214083,0.003270659089898435
21,21.000971172214083,0.003203619969511703
22,22.000971172214083,0.003140674149096609
23,23.000971172214083,0.0030799297963032073
24,24.000971172214083,0.003022887908081336
25,25.000971172214083,0.002969624737109219
26,26.000971172214083,0.002918819544307046
27,27.000971172214083,0.0028708860093112957
28,28.000971172214083,0.0028254705611498046
29,29.000971172214083,0.0027817045564374663
30,30.000971172214083,0.0027394019137834645
31,31.000971172214083,0.002698604943108079
32,32.000971172214086,0.0026593812719947177
33,33.000971172214086,0.002621457038440298
34,34.000971172214086,0.0025849551325232032
35,35.000971172214086,0.002550800210720286
36,36.000971172214086,0.002518557438288259
37,37.000971172214086,0.0024868456244786304
38,38.000971172214086,0.0024556599164757575
39,39.000971172214086,0.0024254977485649895
40,40.000971172214086,0.0023963219588679875
41,41.000971172214086,0.0023680706477632266
42,42.000971172214086,0.0023409575828720846
43,43.000971172214086,0.0023150181270639473
44,44.000971172214086,0.0022899067175251994
45,45.000971172214086,0.0022654212383888704
46,46.000971172214086,0.0022416437600391546
47,47.000971172214086,0.0022185817343714893
48,48.000971172214086,0.0021960867267726445
49,49.000971172214086,0.0021740334084991383
50,50.000971172214086,0.0021523635054958813
51,51.000971172214086,0.0021310862207525975
52,52.000971172214086,0.0021103539262088897
53,53.000971172214086,0.0020902301225194896
54,54.000971172214086,0.002070390565582581
55,55.000971172214086,0.0020505042374766376
56,56.000971172214086,0.002030792425000463
57,57.000971172214086,0.002011686893275771
58,58.000971172214086,0.0019932317013701653
59,59.000971172214086,0.0019751681405118355
60,60.000971172214086,0.0019572664266820135
61,61.000971172214086,0.001939366752690931
62,62.000971172214086,0.0019213554410176638
63,63.000971172214086,0.001903348937669484
64,64.00097117221408,0.0018855465445572017
65,65.00097117221408,0.0018680840682692948
66,66.00097117221408,0.0018510317345550248
67,67.00097117221408,0.0018343995178560723
68,68.00097117221408,0.0018179839220578945
69,69.00097117221408,0.001801537269322433
70,70.00097117221408,0.0017849964108878587
71,71.00097117221408,0.001768520890664278
72,72.00097117221408,0.0017522608816963156
73,73.00097117221408,0.0017362099657445632
74,74.00097117221408,0.0017202956005981783
75,75.00097117221408,0.0017044617974786166
76,76.00097117221408,0.0016886986017385383
77,77.00097117221408,0.0016730037340518854
78,78.00097117221408,0.001657367162379537
79,79.00097117221408,0.0016417673486986927
80,80.00097117221408,0.0016261822099542644
81,81.00097117221408,0.0016105990516347576
82,82.00097117221408,0.0015950148420847945
83,83.00097117221408,0.0015794286225176823
84,84.00097117221408,0.0015638698440337438
85,85.00097117221408,0.0015483948812429148
86,86.00097117221408,0.0015330576220655824
87,87.00097117221408,0.0015178359496725588
88,88.00097117221408,0.001502633149765605
89,89.00097117221408,0.0014873512983722941
90,90.00097117221408,0.0014719980117314463
91,91.00097117221408,0.0014567389894090804
92,92.00097117221408,0.0014417528729250267
93,93.00097117221408,0.001427140330430032
94,94.00097117221408,0.001412757173871836
95,95.00097117221408,0.0013984112769257545
96,96.00097117221408,0.0013839262748496335
97,97.00097117221408,0.0013693621525618315
98,98.00097117221408,0.0013549610984475392
99,99.00097117221408,0.001340969971469815
100,100.00097117221408,0.0013275524789089768
101,101.00097117221408,0.001314608670316185
102,102.00097117221408,0.0013019864595336284
103,103.00097117221408,0.0012895339894764331
104,104.00097117221408,0.0012771548398367238
105,105.00097117221408,0.0012648798361101152
106,106.00097117221408,0.0012527575864271188
107,107.00097117221408,0.0012408366993913631
108,108.00097117221408,0.001229165932278807
109,109.00097117221408,0.0012177944017326807
110,110.00097117221408,0.0012067712776184605
111,111.00097117221408,0.0011961457298016243
112,112.00097117221408,0.0011859447774036113
113,113.00097117221408,0.0011761005920106543
114,114.00097117221408,0.001166519963709337
115,115.00097117221408,0.001157109682308856
116,116.00097117221408,0.0011477782982005226
117,117.00097117221408,0.001138506483032782
118,118.00097117221408,0.0011293707820165687
119,119.00097117221408,0.0011204543724206031
120,120.00097117221408,0.0011118404315136055
121,121.00097117221408,0.001103602180173254
122,122.00097117221408,0.0010957208745949773
123,123.00097117221408,0.001088128071033573
124,124.00097117221408,0.0010807548395104529
125,125.00097117221408,0.001073532250047029
126,126.00097117221408,0.0010663959445676536
127,127.00097117221408,0.0010593379430439485
128,128.0009711722141,0.001052388233111503
129,129.0009711722141,0.0010455775108655283
130,130.0009711722141,0.001038936472401235
131,131.0009711722141,0.0010324951583135498
132,132.0009711722141,0.0010262615316771516
133,133.0009711722141,0.0010202167037867845
134,134.0009711722141,0.001014340164098182
135,135.0009711722141,0.0010086114020670777
136,136.0009711722141,0.0010030099071492054
137,137.0009711722141,0.0009975178420173602
138,138.0009711722141,0.0009921306722859965
139,139.0009711722141,0.0009868479936697965
