Cycle,LAM_PE,LLI_Cap,Color
1.0,0.0,0.0,0.9976056598792664
2.0,3.232323232323231,0.0,0.9991472143742413
3.0,6.8686868686868685,0.007608279710261456,0.9998563997101617
4.0,7.878787878787874,0.018584077944561184,1.0
5.0,5.454545454545457,0.07809566365224274,0.9995340379539304
6.0,9.898989898989896,0.16919388849172767,0.9996577000565869
7.0,6.464646464646462,0.14221075790457327,0.9980610189586138
8.0,8.28282828282828,0.23878875403016941,0.9976357360555926
9.0,9.090909090909093,0.25580024227220255,0.9958076865837724
10.0,8.28282828282828,0.3653502230509438,0.9950945619579228
11.0,11.515151515151512,0.4077024435236156,0.9936024938776822
12.0,14.343434343434346,0.48413050671268776,0.9921416527403581
13.0,16.96969696969697,0.5583649496453311,0.9905061820403448
14.0,10.505050505050505,0.6195052656159459,0.9887630745040882
15.0,13.535353535353533,0.5825301494048929,0.9868225823185286
16.0,9.090909090909093,0.7910679721813567,0.984837789478675
17.0,16.36363636363637,0.8694269454025598,0.982653735054071
18.0,16.161616161616166,0.9603597373759489,0.980575782979024
19.0,15.353535353535353,1.0544047508665801,0.978621648743107
20.0,17.575757575757578,1.1392811389254902,0.9762391347918539
21.0,19.393939393939398,1.3037094453676914,0.9747015046453793
22.0,14.54545454545455,1.47344803683894,0.9720920724919844
23.0,13.131313131313128,1.4904489569382497,0.9702573899500341
24.0,17.373737373737374,1.617491301237001,0.9681053701551243
25.0,19.797979797979803,1.7103211956457043,0.9661483722647286
26.0,21.212121212121215,1.8001507210563066,0.9639328638984939
27.0,18.585858585858585,1.9311441885463547,0.9619161013003805
28.0,23.23232323232324,2.012404796415367,0.9599821741058363
29.0,20.4040404040404,2.1392318384440374,0.9580320446971354
30.0,19.393939393939398,2.248213997495277,0.9558854457474295
31.0,22.22222222222222,2.320788716300933,0.9542716362408213
32.0,23.43434343434343,2.464075722492963,0.9523238768527491
33.0,21.616161616161612,2.565442819181679,0.950588533234639
34.0,27.27272727272727,2.658926079086087,0.9489495996172785
35.0,18.787878787878785,2.7551245361329033,0.9472423832528518
36.0,22.626262626262626,2.8533760874577117,0.9455666996166947
37.0,25.050505050505045,2.9536862891542555,0.943954222226455
38.0,14.343434343434346,2.887861948743741,0.9425376729597794
39.0,24.242424242424242,3.1767240545649074,0.9407965530408817
40.0,24.04040404040404,3.2514132504676034,0.9392554849343223
41.0,23.636363636363633,3.3642858685775643,0.9376817542715483
42.0,22.626262626262626,3.4426121315904252,0.9362630290914372
43.0,23.43434343434343,3.5505097344428966,0.9345751751779889
44.0,25.25252525252525,3.648647932673983,0.9327629009299372
45.0,22.020202020202017,3.718051298818379,0.9316366987935595
46.0,25.050505050505045,3.817968857152899,0.9300952798243567
47.0,22.82828282828283,3.8877672738259994,0.9289286960268719
48.0,25.858585858585858,3.9540067257837324,0.9275683511170318
49.0,26.060606060606062,4.074810287523751,0.9262761544264326
50.0,19.797979797979803,4.142630462686994,0.9248487877176826
51.0,21.616161616161612,4.203280081417708,0.9237116176245593
52.0,23.23232323232324,4.313848672271727,0.9222894727198183
53.0,23.838383838383837,4.388393824508929,0.9211806578931926
54.0,23.030303030303035,4.4648334438770805,0.9198227864060915
55.0,25.050505050505045,4.550763990493079,0.9186188277380112
56.0,24.64646464646465,4.602241204412519,0.9175652002819472
57.0,26.868686868686865,4.673459951357488,0.916361930398199
58.0,22.626262626262626,4.756411925283049,0.9153336443837723
59.0,28.080808080808083,4.8208290369663205,0.9140809471579165
60.0,25.858585858585858,4.887437704999059,0.9130999164868844
61.0,24.04040404040404,4.958675826067847,0.9120440667457473
62.0,24.84848484848485,5.030622724651958,0.911014778038542
63.0,23.23232323232324,5.120146254057459,0.9100207211068336
64.0,27.474747474747474,5.167080771456812,0.9090528850031776
65.0,27.474747474747474,5.2209243616142125,0.9079058250255991
66.0,25.656565656565654,5.260617156359528,0.9067232257877866
67.0,21.818181818181813,5.366227891319687,0.9062247231777789
68.0,22.82828282828283,5.4242992347281005,0.9052957771939794
69.0,23.43434343434343,5.487755703618707,0.904291028141049
70.0,23.838383838383837,5.546751382361694,0.9029615449231125
71.0,31.313131313131315,5.6150489287784096,0.9020043709851239
72.0,25.656565656565654,5.665260924259662,0.9013788567710442
73.0,26.060606060606062,5.749697813179425,0.9006920969577525
74.0,24.64646464646465,5.789207808999676,0.899656112134019
75.0,22.020202020202017,5.853128619153583,0.898939083062946
76.0,25.858585858585858,5.9054232865862435,0.8972348635928113
77.0,22.626262626262626,5.997638056013612,0.8968194214897897
78.0,23.43434343434343,6.033413035262868,0.8949336876737496
79.0,23.43434343434343,6.065424370468621,0.8938613695112725
80.0,25.656565656565654,6.1207984798131925,0.893073984185442
81.0,22.22222222222222,6.200486450472453,0.8922122748341478
82.0,26.464646464646467,6.275705612394383,0.8908139966567117
83.0,22.82828282828283,6.317154435281144,0.8901204209837701
84.0,23.23232323232324,6.371457734286934,0.8889867634530669
85.0,23.23232323232324,6.453200557166399,0.8881263341020512
86.0,26.66666666666667,6.525360931884717,0.8872192871374434
87.0,27.878787878787882,6.556924861081228,0.8862975187379314
88.0,27.070707070707066,6.60848078167916,0.8854530708522174
89.0,27.878787878787882,6.655780381095967,0.8843639142855086
90.0,24.64646464646465,6.7179223358909566,0.8832681971936136
91.0,23.636363636363633,6.788328033166399,0.8823461063941973
92.0,27.878787878787882,6.806377739531891,0.8813035467671984
93.0,26.868686868686865,6.864108990171457,0.8806071574502238
94.0,23.030303030303035,6.965221712637556,0.87936899962055
95.0,25.25252525252525,6.967818585669721,0.8784987241267115
