scaled_SOH,First principal component,Second principal component
0.9986314235655928,-5.5046816,-6.9235797
0.9988204148803526,-5.5870566,-7.016602
0.9988084861421407,-5.546966,-6.908902
0.9987736356287726,-5.558741,-6.696884
0.9989689530977559,-5.472295,-7.0936046
0.9989053690001151,-5.358343,-7.1169543
0.998951320068896,-5.3916235,-6.950037
0.9992471498706472,-5.463654,-7.2169394
0.9992437267150774,-5.5231576,-6.9429693
0.9991019301962494,-5.212206,-6.960341
0.9992247453465026,-5.3442526,-7.0667014
0.9992788910661379,-5.3719797,-7.0745993
0.9992666513961382,-5.3479342,-7.1511974
0.99933417590036,-5.325441,-7.179004
0.9994606205254063,-5.25202,-6.9946675
0.9994589612539035,-5.283044,-7.181479
0.9995646577204034,-5.3391347,-6.879887
0.9996271027034576,-5.1210017,-7.087625
0.9996913086646737,-5.119783,-6.9186006
0.9996350881291838,-5.2021475,-7.2764254
0.9996314586543904,-5.347762,-6.954326
0.9997896415690228,-5.2579236,-7.0469317
0.9997037575598015,-5.229963,-7.1491194
0.9996655855975234,-4.941917,-7.319815
0.9997808250545928,-4.8555703,-7.125258
0.9996825967628078,-4.831352,-6.995717
0.9995120695656116,-4.9502177,-7.209892
0.9996868481011765,-4.69558,-7.3521237
0.9996295901577592,-4.787082,-7.315135
0.99964639500382,-4.6046534,-7.4450684
0.99983808299801,-4.772776,-6.9473324
0.9998375657469987,-4.684758,-7.233988
0.9998249105326472,-4.664824,-6.9640436
0.9997979408324413,-4.7161236,-7.020223
0.9996390314416694,-4.546273,-7.315688
0.9997532334908115,-4.5674467,-7.1791325
0.9997677572017942,-4.3451533,-7.431919
0.9996346754907364,-4.4897203,-7.1691685
0.9997308289666669,-4.2085333,-7.373869
0.9997430686366664,-4.38091,-7.231001
0.9998055136197204,-4.4803863,-7.142294
0.999976662680492,-4.0952806,-7.1919255
0.9999432622134987,-4.146195,-6.9138145
0.9999003187559357,-4.2067432,-7.24164
0.9999143223100022,-4.2463794,-6.9152975
0.9998203453565861,-4.1478662,-7.206015
0.9997645403654479,-4.140937,-7.266761
0.9999337192229291,-4.1987166,-6.876974
0.9998242886690716,-3.8901494,-7.183767
0.9997674462700062,-3.7385452,-7.1027822
0.9998585173188641,-4.0233335,-6.8307014
0.9997111211219523,-3.7430978,-7.0646253
0.9997391282300854,-3.6983664,-7.070378
0.9998088321627261,-3.6321273,-7.1990943
0.9998443074455741,-3.5173771,-7.2466187
1.0,-3.697545,-6.591868
0.9999233480495603,-4.754556,-6.084316
0.999822109240653,-3.628895,-6.433571
0.9997726304037382,-3.5696592,-6.3343396
0.9997058323756561,-3.4073277,-7.0572085
0.999620151779754,-3.512388,-6.4497848
0.9997515742193087,-3.4382675,-6.639154
0.9996625779863055,-3.1959994,-6.4706526
0.9995814625664643,-3.253099,-6.7013984
0.9998086258435024,-3.2724826,-6.69088
0.9997287541508122,-3.3804002,-6.352499
0.9998848651554946,-3.8624492,-5.706241
0.9998675430584225,-4.0888605,-5.407264
0.9997888133862237,-3.4533741,-5.692868
0.9995276277786167,-3.532298,-5.731108
0.9996864354627293,-3.7834759,-5.658957
0.9995323992739017,-3.1716118,-6.079898
0.9996851888296737,-4.162066,-5.446286
0.9996233686161,-4.0284643,-5.2012587
0.9995521071186162,-3.0461707,-5.849405
0.9995386237214656,-2.928288,-6.0071826
0.9994722383318306,-3.1152785,-5.5079117
0.9994916352447574,-2.83015,-6.1219244
0.999649922771954,-2.824199,-6.0581098
0.999503874914757,-2.74703,-5.6221976
0.9992807566568642,-2.6194878,-5.862995
0.999365190619711,-2.653659,-5.3930545
0.9992378131993014,-2.627639,-5.6896076
0.9992260936862178,-2.245152,-5.972896
0.9993221454554886,-2.235145,-5.973305
0.9991610566362978,-2.0339713,-5.9140315
0.999002975428325,-2.311392,-5.890959
0.9992671686471497,-2.2325125,-5.977837
0.9993048204525118,-2.242833,-5.4488516
0.9992867718792999,-2.6308565,-5.135659
0.999271422891423,-2.5332892,-5.0092807
0.9990846080991773,-2.406742,-5.302752
0.999298805230076,-2.5655406,-5.002051
0.9991502670126727,-2.3887155,-5.243795
0.9990995444486072,-1.9056065,-5.4895406
0.9989812973803198,-1.859501,-5.4600043
0.998911488835115,-2.1811583,-5.4140615
0.998756935395276,-1.5455209,-5.5703855
0.9988860737938481,-1.6234064,-5.292549
0.9986668988484407,-1.5788811,-5.3390775
0.9985963638270966,-1.7587193,-5.297482
0.99867986499458,-1.2579814,-5.4343553
0.9986217788683638,-1.6265255,-4.9704766
0.9986030038190123,-1.2513775,-5.430437
0.9986296625874305,-1.4093958,-5.1445966
0.9983774998134772,-1.1168127,-5.4153233
0.9982169311512024,-0.89822495,-5.659499
0.9983032307047756,-0.966558,-5.234123
0.9981878866351419,-0.71514326,-5.6199293
0.9982006464620576,-0.8631465,-5.6988044
0.9981778263935609,-0.9274435,-5.256239
0.9981815604809183,-0.6473906,-5.7319155
0.9981960812859965,-1.1284535,-4.868893
0.9981498192854279,-1.2538514,-4.522927
0.9981407935458697,-0.7432473,-5.052921
0.9981655867235613,-0.5938968,-5.1094847
0.9980328159442915,-0.42518097,-4.612577
0.997834281638962,-0.26072282,-5.108645
0.9979264947083115,-0.5386666,-4.7190356
0.9977257809745634,-0.5547093,-4.826023
0.9976486088672079,-0.26053515,-4.77061
0.997738540801479,-0.34758732,-4.7326617
0.9975740288267185,0.16625847,-5.141236
0.9974534977174483,0.035030704,-5.239333
0.9975183284481444,-0.40585887,-4.7956514
0.997406924785092,0.11735897,-4.9734287
0.9973658498241601,0.04565431,-4.6391335
0.9973364943763119,-0.13361068,-4.470257
0.9972382631786221,0.35376838,-4.7056117
0.9971057016244806,0.13651685,-4.9330115
0.9970187773014272,0.42489427,-5.062348
0.9970061220870758,0.54893994,-4.8733797
0.9969285344353687,0.6243298,-4.86505
0.9968118420260199,0.96610546,-5.13483
0.9968018834910983,0.94430727,-5.12191
0.9967798945113057,0.58489406,-4.9323115
0.9967447301602453,0.42097834,-4.7646103
0.996675959022968,0.5712805,-4.5242352
0.9966245099827629,0.42468172,-4.65235
0.9965133155448387,0.93209743,-4.702352
0.9963415417145869,0.9723351,-4.678302
0.9964137360074339,0.60851514,-4.7907066
0.9963134328997941,0.7937531,-4.7333994
0.9962510925293043,0.9289725,-4.4927163
0.9961704972663791,0.7967977,-4.9511952
0.9960855431466166,0.9777677,-4.790033
0.9961118909832469,0.54541385,-4.364265
0.9959351393384868,0.547146,-4.300368
0.9958443792214167,1.0770712,-4.872053
0.9957978033831558,1.0821252,-4.291825
0.995663893489299,0.93512464,-4.7607737
0.9955703320802347,1.0588323,-5.0741177
0.9956182533523059,1.0785477,-4.316102
0.995363292192263,1.4105691,-5.161943
0.9951950461301452,1.1399109,-5.0466013
0.9951612301187999,1.6860342,-5.5845094
0.9949619693373309,1.6488996,-5.772207
0.9949229691922536,1.9970306,-6.027637
0.9949448564653869,1.2944156,-5.1030707
0.994889879657048,1.7474546,-5.102939
0.9949009802124609,1.4844359,-4.7930865
0.9948088688497712,1.1611575,-4.5825176
0.9946788993624952,1.9150294,-5.007494
0.994510136049366,1.3480352,-5.0802207
0.9945186416320082,1.5234256,-5.26114
0.9944150170754584,2.2732086,-5.629133
0.9942667897898427,1.6289631,-4.996525
0.9940918020291496,1.389098,-5.3263164
0.9939599669511473,2.131194,-5.794301
0.9939972032121579,1.7802663,-5.510362
0.9937445231871933,2.405663,-5.897221
0.9935782502342704,2.1665514,-5.9401503
0.9935057450096356,2.1508582,-5.586051
0.9933463154619476,1.9494761,-5.4205575
0.9932498481483248,2.0743792,-5.5979266
0.993338536355445,1.8934938,-5.3716717
0.9931521371075511,2.31884,-5.3773336
0.992941778676574,2.203808,-5.5414457
0.9928844190264973,2.1082656,-5.381731
0.9926603679732413,2.4483616,-5.346756
0.9925747919899033,2.3260574,-5.2767143
0.9925038443301117,2.3749878,-5.13656
0.9923685831906351,2.9190364,-5.723611
0.9922285505558741,2.3741567,-5.133414
0.9921545923789602,2.1533983,-5.036245
0.9919891476088365,2.3797388,-5.2971206
0.9920678772810352,2.17567,-5.1106844
0.9918510880832705,2.519449,-5.188366
0.9916155238361541,2.7728937,-5.270295
0.9916000673298085,2.624644,-5.084942
0.9913457280333412,2.3780458,-4.890293
0.9913640875383405,2.489012,-5.1147814
0.991228518372981,2.6258533,-4.8527865
0.9910221003485851,2.9051118,-5.0930667
0.9907337387215487,2.8555446,-5.2318068
0.9906569792526405,2.8794527,-5.0399623
0.9904560621055734,3.034816,-5.1575656
0.9903357373155267,3.0442085,-5.0372834
0.9903002620326787,3.087035,-4.9421034
0.9900746563204841,3.2355154,-4.961081
0.9898872196646629,3.213368,-5.1542234
0.9897016515054728,3.184791,-4.921111
0.9895254200176287,3.2937572,-5.0626426
0.9893926492383587,3.4850912,-5.040904
0.989186957690102,3.561106,-4.8037443
0.9889488013761202,3.4053104,-5.044803
0.9889509778986343,3.513588,-4.8130193
0.988751199866154,3.607069,-4.6811132
0.988783458312656,3.4201794,-4.9112163
0.9886212303788782,3.5883596,-4.5522118
0.9882896143624915,3.8375971,-4.7584887
0.9882053867188683,3.7017,-4.873422
0.9881101660383012,3.5969005,-4.5418468
0.9879429573841105,3.8920534,-4.851959
0.9877054229337037,3.7207644,-4.714355
0.9874418515784547,4.0327854,-4.385113
0.9871158381460563,4.067737,-4.68437
0.9870267343945841,3.8875325,-4.6644
0.9868123309444619,3.9858325,-4.509454
0.9866152495914117,4.0916476,-4.728406
0.9864769808407174,4.306838,-4.577335
0.9862729485639639,4.5864477,-4.3895206
0.9859897739765638,4.3232913,-4.597869
0.9860073052987643,4.4624166,-4.4505305
0.9856617903408749,4.6866474,-4.32081
0.985461181219691,4.4687667,-4.5932612
0.9852460512934289,4.6438293,-4.312377
0.981770772513659,4.5443087,-4.3721504
0.9843030649229205,4.2482967,-4.5289173
0.9850504199867534,4.580368,-4.092209
0.9852278981076532,4.56667,-3.9989345
0.9851514524764373,4.8194785,-3.6235735
0.9851702246198841,5.0934854,-3.5573714
0.9850053000066763,5.206201,-3.757913
0.9847753354376441,4.4894466,-3.8674424
0.984670987310859,4.9809546,-3.4447737
0.9844232851004031,4.6876416,-3.8057492
0.9843311766436178,4.4885683,-4.016031
0.9841865817387,5.052679,-3.3410397
0.9839779842858852,4.597284,-3.8874147
0.9837584984086905,4.6149416,-3.792508
0.9834074854793766,4.991324,-3.63207
0.9832451529330349,4.2593217,-3.8432684
0.9830527384627052,4.54982,-3.8310666
0.9827246502144522,3.8813956,-3.892727
0.9824999772976206,4.284807,-4.2655225
0.98225352172022,4.4326587,-4.076893
0.9820376653178184,4.928235,-4.371363
0.9819345580122799,4.907075,-4.6189647
0.9817005513300071,5.2025676,-4.407172
0.9813514039914196,5.3434997,-4.0295677
0.9811487229602855,4.9168925,-4.2449527
0.9808737401178358,5.2046,-4.0752873
0.9805251129361645,5.346023,-4.014606
0.9803914093615314,5.2204328,-4.1505337
0.98011051590921,5.836189,-3.5333421
0.9798281695046094,5.9971757,-3.6469212
0.979446040149285,5.836423,-3.6988995
0.9790565443259054,5.9931674,-3.5754843
0.9786699515011794,6.0923915,-3.5896015
0.9785874906475278,6.095044,-3.6270761
0.9782553544742247,6.407774,-3.230381
0.9778602589727614,6.3868523,-3.2828436
0.9777034214919393,6.5591125,-3.207244
0.9772594690171366,6.7002254,-3.0430577
0.9768055594603648,6.6863303,-3.0445273
0.976649138976847,6.8800216,-3.0809767
