scaled_SOH,First principal component,Second principal component
0.9992257033360098,-6.7027316,0.17471018
0.9992409388916719,-6.569961,-0.040392645
0.9992277768796118,-6.649598,0.048436042
0.9979638688908359,-5.861413,-0.46938816
0.99914614357482,-6.862511,0.123614445
0.9991655373061541,-6.494833,-0.24944153
0.9991933416408137,-6.794006,0.10553536
0.9991922549709047,-6.8502607,0.27825946
0.9992251101029473,-7.0488663,0.43281144
0.9992100685954836,-7.158813,0.54265547
0.9991994791081056,-7.090337,0.44354635
0.9991503017504919,-7.1856246,0.640269
0.9991263562028561,-7.3051376,1.0045277
0.9991160605598921,-7.3564267,0.75545573
0.9991239777263714,-7.2369456,0.70111465
0.999080438854969,-7.328151,0.86029315
0.9991343676213171,-7.431513,0.8712305
0.9991410983216714,-7.4806085,1.108771
0.9991657368985862,-7.5577083,1.0113189
0.9991453507493253,-7.503796,0.914969
0.9990579791621064,-7.693298,1.2815702
0.9990667834060623,-7.7452397,1.4819238
0.9990509546173378,-7.5207653,1.2374444
0.9990539207826504,-7.7611284,1.3825889
0.9990516476466165,-7.83893,1.4457983
0.9990488755295018,-7.8351364,1.3309546
0.9989894025289247,-7.783505,1.1660135
0.9989951463555863,-7.95639,1.6543102
0.998992967471534,-7.8440595,1.4369797
0.9994499232567096,-7.9774466,1.37948
0.9996905762876649,-8.028923,1.3434111
0.9998796734845222,-8.043933,1.2093266
1.0,-8.07564,0.9550696
0.9988554261087746,-8.128592,0.9136225
0.9994104427647631,-8.155636,1.1992444
0.9990178056408812,-8.196107,1.5827384
0.9989666434474136,-8.261256,1.7863562
0.9989219181098861,-7.7606554,1.8224034
0.9988903547844191,-7.226813,0.3820715
0.9988482019715739,-6.963066,-0.016987694
0.9988072356248539,-7.6393247,0.35422197
0.9988075294692681,-7.5453324,-0.008910133
0.9987343067678023,-7.537244,-0.0043984423
0.9987745800852434,-7.5085306,-0.032530174
0.998695319712702,-6.1868362,-1.6788124
0.998689781022707,-6.1299844,-1.6775817
0.9986269426719526,-6.280365,-1.4919841
0.998621703370606,-6.588559,-1.1888006
