scaled_SOH,First principal component,Second principal component
0.9994167550906663,-5.623684,-1.8708578
0.9994331219355328,-5.59854,-1.851855
0.9994366322361499,-5.5660744,-1.7506417
0.9994232843589987,-5.5543895,-1.5318213
0.9993774866733459,-5.406547,-1.4199206
0.9993844090079993,-5.502242,-1.4053452
0.9993895680034625,-5.4735713,-1.0778626
0.9994136378563703,-5.4129224,-1.1259903
0.9994104223554943,-5.370503,-1.1571915
0.9994203581986089,-5.392124,-0.98448396
0.9994250367796799,-5.438713,-0.95534617
0.9993899610697835,-5.3567996,-0.95187813
0.9994364357029893,-5.4227524,-0.83445364
0.9993858666289397,-5.3993716,-0.84058803
0.9993791462867011,-5.378672,-0.75067765
0.9993926906970128,-5.4052997,-0.83258265
0.9993743694390498,-5.352816,-0.6724341
0.9993421216229632,-5.283902,-0.7364677
0.9993012918588677,-5.396414,-0.54535466
0.9992765450584074,-5.327084,-0.51456344
0.9992448813825476,-5.4444766,-0.27399662
0.9992043464181928,-5.351357,-0.40905583
0.9991795013511519,-5.303487,-0.42035168
0.9991658586742601,-5.3173904,-0.3967225
0.9991710231289779,-5.351428,-0.2080932
0.9991671252212944,-5.2574697,-0.30908084
0.9991512442500743,-5.28895,-0.22347364
0.9990782649364727,-5.2930384,-0.15601903
0.9991107092857197,-5.3380933,0.16700745
0.9990980438153758,-5.3093343,0.049277436
0.9992432217691921,-5.6123157,-0.057645813
0.9995963263475715,-5.6396585,-0.22136343
0.9997520297439837,-6.2936254,0.44761118
0.9999110414485979,-7.9618435,3.3428924
1.0,-8.196061,3.1689863
0.9999157200296689,-8.000019,3.3616598
0.9991673217544549,-7.4091644,2.6616933
0.9989883346377768,-6.8341417,2.7068949
0.9989566655026627,-7.043462,2.8577845
0.998920809119379,-6.3570943,2.0222244
0.9988638090435772,-6.1259093,1.4765422
0.9988662493303202,-6.2489195,1.6011404
0.9988224988650893,-6.0333896,1.7641829
0.9987736822117208,-5.9108505,1.6007179
0.9987411395958935,-5.7470207,1.1550229
0.998710644200488,-5.277857,0.6846311
0.9987098635271006,-5.104939,0.6087514
0.998643413481831,-5.0984197,0.45021507
0.9986068746917399,-4.9016705,0.6405817
0.9985681958739011,-4.9965053,0.95313585
0.9985150937057827,-5.2398963,1.1220443
0.998452345035036,-5.349003,1.4488957
0.9984215548398898,-5.2431345,1.314675
0.9983874508772872,-5.5669646,1.8476475
0.998294501610876,-5.2685976,1.2938703
0.998337957276366,-5.0647917,1.344187
0.9982979081856581,-5.1195426,1.6116124
0.9982468532379618,-4.9850116,1.3631821
0.9982479232518355,-5.1336994,1.6566195
0.9981853711142494,-5.09094,1.82765
0.9981802066595318,-4.8817096,1.3267331
0.9981219400366956,-4.95207,1.5047203
0.9981358775133282,-4.9250846,1.793841
0.9980387300802385,-5.0446157,1.8685099
0.9980243121892133,-4.97611,1.8088834
0.9979879699322827,-4.9618187,2.1292946
0.9979485049818018,-4.945497,1.9156163
0.9979058299896995,-4.9847693,2.1889117
0.9978616919174018,-4.8518825,2.5440032
0.9978209658791412,-4.8637824,2.4310572
0.9978055707815681,-4.7487574,2.1156075
0.9977783836943643,-4.8461323,2.2556796
0.9977310355804454,-4.9604692,2.289507
0.9977210942780763,-4.740781,2.61758
0.9976829996004646,-4.86404,2.7324255
0.9976323322598348,-4.836827,2.6680171
0.997617133695422,-4.8779683,2.7929947
0.9975738691038382,-4.8538938,2.888388
0.9974964077423257,-4.7996664,2.7421074
0.9974563641108722,-4.814063,3.0419092
0.9974254756491457,-4.840388,2.7635217
0.9973819217170754,-4.7887163,3.077665
0.997337783644778,-4.814122,2.9441714
0.9973080689227602,-4.8069816,3.0036225
0.9972563315682564,-4.8887587,3.4922538
0.9971974808051932,-4.7892714,3.1213584
0.997165620596173,-4.8337803,3.5295918
0.9971155373957703,-4.735622,3.218694
0.9970469418634986,-4.6711035,3.199488
0.9970308643591181,-4.5994368,3.0549994
0.997020147842616,-4.6928077,3.5289254
0.9969959851823824,-4.6630254,3.275051
0.9969755238966718,-4.7045736,3.4032059
0.9969189114279366,-4.749994,3.5064836
0.9968707771813756,-4.6081266,3.4770358
0.9968227466606492,-4.584215,3.6263874
0.9967710038468911,-4.544739,3.5993989
