scaled_SOH,First principal component,Second principal component
1.0,-5.6727757,-5.1403236
0.9997589619653213,-5.0498,-5.6400313
0.9992004906252133,-4.19703,-6.419898
0.9993210634483544,-4.1539774,-6.408075
0.998834291328195,-3.4128115,-7.2338114
0.9990973090328596,-3.3973339,-7.2444406
0.9990483337964866,-4.4694233,-6.1489663
0.9986875778530715,-3.5088482,-7.3797455
0.9988865756213715,-3.5552068,-7.27516
0.9986651707258835,-3.6294432,-7.0928226
0.9977009169539884,-3.1490607,-7.53957
0.9980664735705977,-3.1927602,-7.50879
0.9981664507285402,-3.0820794,-7.51865
0.9970757563119099,-2.8404155,-7.6525416
0.9974987177404886,-2.7941272,-7.718848
0.9974770579161015,-2.7272706,-7.670454
0.9969862324255492,-2.7565846,-7.6086674
0.997449102812918,-3.2159317,-7.2749553
0.9969700159547654,-2.541337,-7.719605
0.9966301725329363,-2.6220527,-7.7078757
0.9966994205996975,-3.141409,-7.307282
0.9964568909486281,-2.693878,-7.487615
0.9961862985827716,-2.8356373,-7.4774914
0.9962740050287201,-3.1737964,-6.946872
0.9954446184879455,-2.446843,-7.6237035
0.9955245380387063,-2.6356523,-7.5100603
0.9954132497055663,-2.4895067,-7.5570974
0.9944946621132411,-2.4010491,-7.591177
0.9946468159527565,-2.4186432,-7.646457
0.9946968613267408,-2.3640325,-7.49504
0.9938159377955911,-2.521093,-7.521931
0.9939544339291134,-2.6899202,-7.4562244
0.9938900941471499,-2.8854315,-6.9575677
0.9927353768049436,-2.259721,-7.604791
0.9931239832291501,-3.0221534,-6.899804
0.9929628647452324,-2.5432117,-7.0552363
0.9920390490225107,-2.537688,-7.1411743
0.992287234261179,-2.6609938,-6.8898473
0.9915818342227407,-2.8871284,-6.840647
0.9912936354028903,-2.5590162,-7.036663
0.9915970941459391,-3.6206515,-6.3212004
0.9913015328988922,-3.358073,-6.057135
0.9907441257179729,-3.0623968,-6.4193263
0.9906556719692234,-3.6253297,-5.765113
0.9898345027700497,-3.2808557,-5.965721
0.989907699584812,-3.5170994,-5.9739614
0.989812307876857,-3.8358831,-5.513661
0.9889966866536786,-2.6843226,-6.333902
0.9891852266665797,-3.5974631,-5.6397996
0.9891652736817902,-3.391572,-5.607138
0.98792338197323,-2.7438133,-6.2341614
0.9881510821475143,-3.4050965,-5.6647267
0.9879367198336242,-3.3439162,-5.62735
0.9869927373975116,-3.1268137,-5.627883
0.9871678334330211,-3.2420578,-5.7244973
0.9870678547804729,-2.6534672,-5.777664
0.9861315546171557,-2.8338337,-5.8122673
0.986130701197357,-2.5765655,-5.9757786
0.9859260478414584,-2.355718,-5.774774
0.985191946891641,-2.3660557,-5.8154883
0.9850337085127191,-2.5368693,-5.5843863
0.9841699654729664,-2.0015426,-5.506343
0.983818386407949,-2.3946786,-5.642395
0.983573934694075,-1.8727411,-5.9752727
0.9830125817543659,-1.8566126,-5.6464505
0.9827934172726758,-1.8273895,-5.89744
0.9828099565782697,-1.9347221,-5.971736
0.9819715007707008,-1.215958,-5.3247175
0.9820355207070657,-1.5258985,-6.066541
0.9818471944227657,-0.79716367,-5.9544387
0.9807494559299323,-1.1783609,-5.167618
0.9806150131668027,-1.1926872,-5.7141347
0.9798251066330103,-0.6141832,-5.90805
0.979210402251725,-0.47295728,-6.348503
0.9793481540716577,0.2508297,-6.4663224
0.9789662703834499,-0.18412016,-6.285072
0.9782037868732465,0.64664453,-5.8236175
0.9780482163653245,0.6365449,-5.786621
0.9779638159869681,1.022238,-5.7009325
0.9772258724061473,0.6465425,-6.0307384
0.9768804825029285,0.6481104,-5.841567
0.9758064312669819,1.1673795,-5.45213
0.9756400846526677,0.790287,-5.83476
0.9753785608063028,0.8292309,-6.0809603
0.9744961449114589,1.1540768,-5.963083
0.974361701401027,1.0115595,-6.0961075
0.9740099086074083,1.4588033,-5.821928
0.9730293277639146,1.8901594,-5.5524273
0.9728926438396848,1.669543,-5.783747
0.9727309925288702,2.0384898,-5.8445525
0.9717255496684868,1.9954368,-5.7564406
0.9717602275076689,1.6323107,-6.23051
0.9710133215243547,1.8050717,-6.3843417
0.9702420878456536,2.3817217,-5.8828607
0.9702190406536162,2.2727365,-6.0471115
0.9697079434536298,2.8419757,-6.224701
0.9688372643229287,2.8088138,-6.0399213
0.9681428548667864,2.9485543,-5.9153194
0.9676326114602501,2.9930081,-5.7892747
0.9673906138887749,3.1713424,-6.0476203
0.967034339707084,3.144235,-6.3486075
0.9662392048560691,3.3399575,-6.0143943
0.9659876040699485,3.246243,-6.112351
0.9656823329307813,3.336893,-6.1195426
0.9646814787898352,3.7687082,-5.9672813
0.9644016024243953,3.5563693,-5.9060235
0.9639258232685595,3.6859512,-5.743294
0.9628377945043741,3.9179394,-6.1075487
0.9626508545601831,4.0186524,-6.191094
0.9622627834850206,3.7708902,-5.990896
0.9611700599544596,3.929081,-6.174935
0.961349744242342,3.87908,-6.3459764
0.9608335254026082,4.2952185,-6.0775027
0.9600909941298916,4.259904,-6.043127
0.9593656414803153,4.5670986,-5.8626
0.9593115442305435,4.4762135,-6.0194516
0.9586911853826138,4.412372,-6.0491056
0.9582454958602938,4.71315,-5.9295063
0.9574835448033362,4.572386,-5.930413
0.9571492508521082,4.6858816,-5.919431
0.9567246887009295,4.948417,-5.8917646
0.9558288280813915,5.0445633,-5.683751
0.9553855923278187,4.9543467,-5.702204
0.955116493072959,5.0973225,-5.7742534
0.9535346525728745,5.257833,-5.546092
0.9535112851615871,5.3797736,-5.437279
0.9530092576020461,5.2929187,-5.6421375
0.952123533397702,5.187205,-5.621598
0.9518909256859227,5.051063,-5.835279
0.9512326886745648,5.3816047,-5.550954
0.9506600245596583,5.676058,-5.230363
0.9495907747442084,5.5604734,-5.452169
0.9497585083525213,5.5002666,-5.4542665
0.9490421184790899,5.824632,-5.1448016
0.9486680261698865,5.942717,-5.110461
0.9478785455986907,5.818732,-5.1949787
0.9474974107078894,5.896954,-5.2009635
0.9471712264866592,5.9635005,-5.1701818
0.9464591052068279,5.8822412,-5.2561765
0.94596913463068,6.0294514,-5.156509
0.9449889797497829,6.2636504,-5.0208883
0.9442765386243527,6.2727094,-5.024096
0.9438933755537495,6.1799116,-5.1195984
0.9437400469542309,6.291789,-5.028619
0.942419942534507,6.593743,-4.8198395
0.9420324062479117,6.62323,-5.0378785
0.9416613001607015,6.637921,-4.945625
0.9408629640513128,6.618184,-4.968174
0.9400253616635428,6.7645364,-4.8444514
0.9399140733304027,6.803593,-4.839601
0.9386303550840648,7.0787487,-4.6623096
0.9387638383103973,7.143968,-4.7617197
0.9379322098612196,6.975098,-4.8175178
0.9374840673174547,7.164525,-4.744356
0.9366346231694986,7.1737847,-4.743953
0.9362106992149121,7.3721237,-4.7526917
0.9357114471379746,7.3393965,-4.67706
0.935037631105122,7.445381,-4.767137
0.9340277051752349,7.481745,-4.6739054
