scaled_SOH,First principal component,Second principal component
1.0,-3.8960104,-0.89533526
0.9997589619653213,-3.7614882,-0.9180551
0.9992004906252133,-3.942794,-0.5901164
0.9993210634483544,-3.9057763,-0.64404386
0.998834291328195,-3.7851653,-0.662733
0.9990973090328596,-3.9089305,-0.45780167
0.9990483337964866,-3.5456777,-0.57099944
0.9986875778530715,-3.3779583,-0.6123077
0.9988865756213715,-3.440972,-0.4307684
0.9986651707258835,-3.1291456,-0.3522229
0.9977009169539884,-2.2057095,-0.25992355
0.9980664735705977,-1.7147242,-0.1896706
0.9981664507285402,-1.420247,-0.07287764
0.9970757563119099,-1.4228648,-0.17635135
0.9974987177404886,-1.1202697,-0.004197302
0.9974770579161015,-1.2131826,0.06365628
0.9969862324255492,-1.4054005,0.06738813
0.997449102812918,-1.433813,0.22228187
0.9969700159547654,-1.5207696,0.1346064
0.9966301725329363,-1.4452147,0.32019946
0.9966994205996975,-1.2250776,0.30218875
0.9964568909486281,-1.162599,0.27526072
0.9961862985827716,-1.3007172,0.33378726
0.9962740050287201,-1.1823665,0.4017623
0.9954446184879455,-1.2323357,0.47847617
0.9955245380387063,-1.040335,0.52606297
0.9954132497055663,-0.89315337,0.49450758
0.9944946621132411,-1.0624924,0.482808
0.9946468159527565,-0.92223835,0.77372307
0.9946968613267408,-0.7476971,0.87219393
0.9938159377955911,-0.933611,0.76950836
0.9939544339291134,-0.77762645,0.77733856
0.9938900941471499,-0.73278916,0.66349065
0.9927353768049436,-0.85357994,0.78124785
0.9931239832291501,-0.70718163,0.7952589
0.9929628647452324,-0.72242147,0.9712739
0.9920390490225107,-0.84992063,0.95733947
0.992287234261179,-0.6685949,1.0371093
0.9915818342227407,-0.633578,1.0074153
0.9912936354028903,-0.6288969,1.1848513
0.9915970941459391,-0.5422062,1.336031
0.9913015328988922,-0.73148686,1.0962442
0.9907441257179729,-0.70016575,1.3443722
0.9906556719692234,-0.44130993,1.3169849
0.9898345027700497,-0.63592863,1.3852026
0.989907699584812,-0.60018504,1.4245535
0.989812307876857,-0.37295577,1.2708526
0.9889966866536786,-0.43155602,1.3450104
0.9891852266665797,-0.40382555,1.46084
0.9891652736817902,-0.3353989,1.4246575
0.98792338197323,-0.60623384,1.608404
0.9881510821475143,-0.19370665,1.4975718
0.9879367198336242,-0.1457404,1.4736178
0.9869927373975116,-0.3761442,1.6706294
0.9871678334330211,-0.2335832,1.645733
0.9870678547804729,-0.08350037,1.6849691
0.9861315546171557,-0.34532782,1.7311723
0.986130701197357,-0.13858078,1.7977219
0.9859260478414584,-0.13083665,1.7924974
0.985191946891641,0.07501344,1.7828891
0.9850337085127191,0.23956965,1.6201943
0.9841699654729664,0.09925366,1.8310643
0.983818386407949,0.43036208,1.7039409
0.983573934694075,0.60201955,1.8652515
