Condition,Average alpha accuracy
NCA_CY25-1_1-,0.6329088041588042
NCA_CY25-05_1-,0.8728494939419227
NCA_CY45-05_1-,0.9798593953109194
NCA_CY25-025_1-,0.7450411583707417
NCA_CY35-05_1-,0.9254877014418998
